Nilai;Kurs Jual;Kurs Beli;Tanggal
1;16273.29;16109.94;1/27/2022
1;16301.33;16136.27;1/26/2022
1;16305.02;16139.93;1/25/2022
1;16346.53;16181.02;1/24/2022
1;16383.35;16218.9;1/21/2022
1;16372.73;16204.09;1/20/2022
1;16402.08;16237.45;1/19/2022
1;16453.05;16286.49;1/18/2022
1;16491.32;16325.81;1/17/2022
1;16495.36;16325.53;1/14/2022
1;16338.37;16174.37;1/13/2022
1;16311.95;16143.96;01/12/2022
1;16316.3;16152.53;01/11/2022
1;16325.25;16161.38;01/10/2022
1;16338.69;16170.39;01/07/2022
1;16317.95;16149.86;01/06/2022
1;16239.65;16072.36;01/05/2022
1;16276.0;16108.37;01/04/2022
1;16239.2;16073.36;01/03/2022
1;16208.9;16044.78;12/31/2021
1;16182.85;16016.15;12/30/2021
1;16202.59;16037.12;12/29/2021
1;16174.64;16008.04;12/28/2021
1;16202.12;16035.24;12/27/2021
1;16202.77;16038.72;12/24/2021
1;16161.64;15996.57;12/23/2021
1;16298.33;16134.73;12/22/2021
1;16294.71;16128.28;12/21/2021
1;16317.46;16149.39;12/20/2021
1;16317.46;16149.39;12/17/2021
1;16247.24;16079.87;12/16/2021
1;16272.68;16105.05;12/15/2021
1;16257.43;16094.24;12/14/2021
1;16308.15;16143.01;12/13/2021
1;16330.89;16162.68;12/10/2021
1;16275.56;16110.76;12/09/2021
1;16317.56;16152.33;12/08/2021
1;16388.32;16220.94;12/07/2021
1;16347.97;16183.87;12/06/2021
1;16363.06;16194.52;12/03/2021
1;16320.18;16152.08;12/02/2021
1;16338.78;16170.51;12/01/2021
1;16256.4;16090.36;11/30/2021
1;16148.2;15981.83;11/29/2021
1;16110.88;15944.89;11/26/2021
1;16097.55;15931.7;11/25/2021
1;16164.97;15998.44;11/24/2021
1;16144.28;15979.39;11/23/2021
1;16201.16;16034.29;11/22/2021
1;16210.07;16047.36;11/19/2021
1;16219.03;16051.98;11/18/2021
1;16245.84;16078.54;11/17/2021
1;16344.34;16178.89;11/16/2021
